latitude;longitude;altitude(m)
-22.766005;-48.526861;30.000000
-22.763795;-48.532861;30.000000
-22.754376;-48.526080;30.000000
-22.763547;-48.532370;30.000000
-22.763688;-48.531988;30.000000
-22.754609;-48.525761;30.000000
-22.754842;-48.525442;30.000000
-22.763829;-48.531606;30.000000
-22.763970;-48.531224;30.000000
-22.755075;-48.525123;30.000000
-22.755308;-48.524804;30.000000
-22.764110;-48.530841;30.000000
-22.764251;-48.530459;30.000000
-22.755541;-48.524485;30.000000
-22.755774;-48.524166;30.000000
-22.764392;-48.530077;30.000000
-22.764533;-48.529695;30.000000
-22.756007;-48.523847;30.000000
-22.756240;-48.523528;30.000000
-22.764674;-48.529312;30.000000
-22.764815;-48.528930;30.000000
-22.756473;-48.523209;30.000000
-22.756707;-48.522890;30.000000
-22.764955;-48.528548;30.000000
-22.765096;-48.528166;30.000000
-22.756892;-48.522538;30.000000
-22.757076;-48.522185;30.000000
-22.765237;-48.527783;30.000000
-22.765378;-48.527401;30.000000
-22.757260;-48.521833;30.000000
-22.757444;-48.521480;30.000000
-22.765519;-48.527019;30.000000
-22.765660;-48.526637;30.000000
-22.757971;-48.521363;30.000000
-22.758657;-48.521354;30.000000
-22.765784;-48.526243;30.000000
-22.765907;-48.525849;30.000000
-22.759343;-48.521346;30.000000
-22.760028;-48.521337;30.000000
-22.766031;-48.525454;30.000000
-22.766154;-48.525060;30.000000
-22.760714;-48.521329;30.000000
-22.761400;-48.521320;30.000000
-22.766278;-48.524666;30.000000
-22.766401;-48.524272;30.000000
-22.762085;-48.521312;30.000000
-22.762771;-48.521303;30.000000
-22.766525;-48.523878;30.000000
-22.766648;-48.523484;30.000000
-22.763456;-48.521294;30.000000
-22.764142;-48.521286;30.000000
-22.766772;-48.523090;30.000000
-22.766895;-48.522695;30.000000
-22.764828;-48.521277;30.000000
-22.765513;-48.521269;30.000000
-22.767019;-48.522301;30.000000
-22.767142;-48.521907;30.000000
-22.766199;-48.521260;30.000000
-22.766885;-48.521252;30.000000
-22.767266;-48.521513;30.000000
-22.767570;-48.521243;30.000000
-22.767570;-48.521243;30.000000
-22.767767;-48.521241;30.000000
-22.766005;-48.526861;30.000000
